amount_from,amount_to,fee_p2p_onnet,fee_p2p_xnet,fee_cashout,fee_otf
100,999,15,15,N/A,N/A
1000,1999,25,25,300,325
2000,2999,35,35,400,435
3000,3999,50,50,600,650
4000,4999,65,65,650,715
5000,6999,125,125,850,975
7000,9999,130,130,900,1030
10000,19999,320,320,1400,1720
20000,29999,365,365,1700,2065
30000,39999,370,370,1750,2120
40000,49999,400,400,2300,2700
50000,99999,720,720,2700,3420
100000,199999,1000,1000,3600,4600
200000,299999,1200,1200,5100,6300
300000,399999,1500,1500,6000,7500
400000,499999,1500,1500,6500,8000
500000,599999,2200,2200,7000,9200
600000,799999,3300,3300,7500,10800
800000,1000000,3500,3500,8000,11500
1000001,3000000,4800,4800,8000,12800
